City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port lincoln,-34.7333,135.8667,20.7,62,100,2.2,AU,1701980872
1,yellowknife,62.456,-114.3525,-10.71,92,100,3.6,CA,1701980873
2,motueka,-41.1333,173.0167,17.83,55,19,1.26,NZ,1701980873
3,hawaiian paradise park,19.5933,-154.9731,26.04,82,100,4.12,US,1701980873
4,meadow lakes,61.6247,-149.6011,-6.53,86,100,1.02,US,1701980870
5,akobo,7.4344,3.9497,25.15,78,100,1.92,NG,1701980874
6,ushuaia,-54.8,-68.3,13.01,61,0,9.77,AR,1701980709
7,dudinka,69.4058,86.1778,-24.62,98,19,4.92,RU,1701980818
8,hermanus,-34.4187,19.2345,18.76,90,11,4.66,ZA,1701980875
9,suva,-18.1416,178.4415,27.71,78,75,2.06,FJ,1701980875
10,bredasdorp,-34.5322,20.0403,18.38,87,0,4.74,ZA,1701980709
11,parham,17.0968,-61.7705,27.83,91,20,4.12,AG,1701980876
12,grytviken,-54.2811,-36.5092,0.16,87,55,7.5,GS,1701980716
13,mahriz,31.5917,54.4318,7.28,24,1,0.75,IR,1701980876
14,tazovsky,67.4667,78.7,-24.26,96,100,4.93,RU,1701980877
15,duluth,46.7833,-92.1066,8.93,76,0,6.69,US,1701980877
16,tura,25.5198,90.2201,16.11,96,100,2.38,IN,1701980877
17,luderitz,-26.6481,15.1594,17.11,82,0,6.46,NA,1701980873
18,adamstown,-25.066,-130.1015,22.79,75,30,5.39,PN,1701980718
19,achikulak,44.5517,44.8378,1.88,99,100,6.0,RU,1701980878
20,nova sintra,14.8667,-24.7167,21.53,74,100,6.76,CV,1701980879
21,margaret river,-33.95,115.0667,13.76,74,1,5.04,AU,1701980726
22,geraldton,-28.7667,114.6,19.23,72,100,4.63,AU,1701980835
23,mugia,43.1041,-9.2179,15.09,81,94,7.86,ES,1701980880
24,punta arenas,-53.15,-70.9167,15.01,62,0,4.63,CL,1701980142
25,quibala,-10.7337,14.98,17.99,98,87,0.5,AO,1701980881
26,waitangi,-43.9535,-176.5597,14.9,73,80,1.34,NZ,1701980881
27,mogadishu,2.0371,45.3438,27.06,74,5,7.3,SO,1701980882
28,longyearbyen,78.2186,15.6401,-2.09,69,20,9.26,SJ,1701980882
29,smithers,54.7804,-127.1743,-3.82,93,100,2.06,CA,1701980883
30,edinburgh of the seven seas,-37.0676,-12.3116,14.88,83,100,7.06,SH,1701980883
31,cabo san lucas,22.8909,-109.9124,31.61,43,0,2.24,MX,1701980522
32,calvinia,-31.4707,19.776,17.69,53,0,2.86,ZA,1701980884
33,port-aux-francais,-49.35,70.2167,4.03,74,91,13.6,TF,1701980884
34,zuni pueblo,35.0725,-108.8506,12.35,30,98,10.57,US,1701980885
35,doda,33.1333,75.5667,9.79,30,2,2.0,IN,1701980885
36,iqaluit,63.7506,-68.5145,-16.15,77,20,5.66,CA,1701980596
37,zaozersk,69.4005,32.4476,-14.35,91,95,3.8,RU,1701980886
38,shchyolkino,45.4291,35.8223,4.75,86,100,11.59,UA,1701980886
39,ribeira grande,38.5167,-28.7,18.22,82,40,6.69,PT,1701980887
40,thompson,55.7435,-97.8558,-6.91,100,75,1.54,CA,1701980887
41,edmundston,47.3737,-68.3251,-6.81,73,100,4.12,CA,1701980794
42,bikenibeu village,1.3673,173.1241,27.98,89,100,4.63,KI,1701980838
43,betioky,-23.7167,44.3833,24.16,61,18,5.49,MG,1701980888
44,behshahr,36.6923,53.5526,9.97,59,5,1.31,IR,1701980889
45,udachny,66.4167,112.4,-25.31,75,100,1.28,RU,1701980889
46,berezovyy,51.6667,135.7,-15.24,79,13,2.33,RU,1701980890
47,flying fish cove,-10.4217,105.6791,24.82,83,75,2.06,CX,1701980784
48,bodaybo,57.8506,114.1933,-32.48,98,100,0.77,RU,1701980890
49,mohpa,21.3167,78.8167,18.64,83,95,2.22,IN,1701980891
50,kerikeri,-35.2268,173.9474,17.73,79,2,2.68,NZ,1701980891
51,carauari,-4.8828,-66.8958,27.03,89,85,1.02,BR,1701980892
52,chibougamau,49.9168,-74.3659,-13.21,78,0,0.0,CA,1701980892
53,nemuro,43.3236,145.575,1.48,65,77,13.55,JP,1701980892
54,pauini,-7.7136,-66.9764,29.62,64,99,1.43,BR,1701980893
55,puerto ayora,-0.7393,-90.3518,29.98,93,99,2.68,EC,1701980893
56,carbonear,47.7332,-53.2148,-1.99,86,100,6.14,CA,1701980894
57,enewetak,11.3474,162.3373,27.71,78,100,9.64,MH,1701980894
58,igarka,67.4667,86.5833,-26.15,98,100,2.08,RU,1701980894
59,mercedes,-34.6515,-59.4307,25.91,39,0,5.59,AR,1701980895
60,college,64.8569,-147.8028,-18.01,81,20,3.6,US,1701980896
61,rongelap,11.1635,166.8941,27.41,84,10,9.86,MH,1701980833
62,filadelfia,39.9523,-75.1638,4.32,81,100,5.14,US,1701980757
63,kudahuvadhoo,2.6708,72.8944,27.35,80,100,9.38,MV,1701980897
64,lebu,-37.6167,-73.65,15.61,77,2,6.76,CL,1701980897
65,wakkanai,45.4094,141.6739,-0.51,75,100,7.6,JP,1701980898
66,crane,31.3974,-102.3501,23.54,24,0,4.22,US,1701980723
67,mandiana,10.6333,-8.6833,26.59,19,0,1.29,GN,1701980898
68,isafjordur,66.0755,-23.124,-0.38,75,95,5.71,IS,1701980899
69,bernalillo,35.05,-106.6673,17.78,28,0,2.57,US,1701980899
70,anloga,5.7947,0.8973,28.16,78,100,4.92,GH,1701980900
71,albany,42.6001,-73.9662,-0.46,85,100,1.24,US,1701980900
72,conceicao da barra,-18.5933,-39.7322,27.5,69,0,4.8,BR,1701980901
73,salekhard,66.53,66.6019,-22.53,87,100,3.74,RU,1701980901
74,bethel,41.3712,-73.414,2.9,75,100,2.06,US,1701980718
75,tara,56.8944,74.371,-35.17,99,7,1.77,RU,1701980902
76,anadyr,64.75,177.4833,-20.72,77,20,13.0,RU,1701980714
77,puerto natales,-51.7236,-72.4875,16.03,55,92,2.7,CL,1701980737
78,pointe michel,15.25,-61.3833,30.52,58,40,1.54,DM,1701980903
79,manggar,-2.8833,108.2667,26.72,84,100,1.64,ID,1701980736
80,aasiaat,68.7098,-52.8699,-12.01,88,100,1.67,GL,1701980904
81,al marj,32.488,20.8317,13.91,82,41,3.58,LY,1701980904
82,taoudenni,22.6783,-3.9836,23.19,19,100,4.96,ML,1701980905
83,colonia menno,-22.3667,-59.8167,29.44,69,96,2.91,PY,1701980905
84,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,72,75,2.24,RU,1701980615
85,vadso,70.0744,29.7487,-9.91,85,75,7.72,NO,1701980906
86,oban,56.4127,-5.4706,5.77,89,100,4.83,GB,1701980906
87,namsos,64.4662,11.4957,-3.97,67,32,6.17,NO,1701980906
88,kingston,17.997,-76.7936,31.25,65,75,1.54,JM,1701980669
89,amahai,-3.3333,128.9167,26.06,84,100,1.47,ID,1701980907
90,newman,37.3138,-121.0208,17.23,37,5,0.45,US,1701980908
91,chonchi,-42.6128,-73.8092,20.56,44,0,0.85,CL,1701980791
92,barbate,36.1924,-5.9219,16.01,85,100,2.07,ES,1701980908
93,portland,45.5234,-122.6762,9.09,93,100,8.75,US,1701980726
94,georgetown,5.4112,100.3354,25.96,94,20,0.0,MY,1701980599
95,ilulissat,69.2167,-51.1,-2.99,54,20,0.0,GL,1701980727
96,wailua homesteads,22.0669,-159.378,25.48,80,75,1.54,US,1701980909
97,naze,28.3667,129.4833,11.51,64,0,1.03,JP,1701980631
98,kayangel,8.0823,134.7173,28.09,73,45,5.05,PW,1701980910
99,ust'-kulom,61.6864,53.6902,-32.49,100,65,0.81,RU,1701980911
100,nong ki,14.6868,102.538,21.34,79,91,1.96,TH,1701980911
101,novouzensk,50.4592,48.1431,-5.76,63,95,4.72,RU,1701980911
102,isangel,-19.55,169.2667,24.84,68,100,6.95,VU,1701980819
103,gaiman,-43.2897,-65.4929,18.09,39,4,8.37,AR,1701980912
104,baiti,13.745,-14.7482,30.43,14,76,2.55,SN,1701980913
105,severoural'sk,60.1533,59.952,-33.9,98,5,1.46,RU,1701980913
106,port alfred,-33.5906,26.891,20.66,93,18,0.89,ZA,1701980913
107,shitanjing,39.2342,106.3439,5.56,23,3,8.31,CN,1701980914
108,changling,44.2653,124.0005,0.17,76,68,8.88,CN,1701980797
109,blackmans bay,-43.0167,147.3167,13.07,89,100,1.48,AU,1701980720
110,port mathurin,-19.6833,63.4167,25.86,77,6,3.67,MU,1701980915
111,tiksi,71.6872,128.8694,-33.0,99,82,2.58,RU,1701980777
112,karratha,-20.7377,116.8463,30.43,27,1,6.22,AU,1701980916
113,kailua-kona,19.6406,-155.9956,27.93,73,75,3.6,US,1701980917
114,barcelos,41.5388,-8.6151,14.4,92,100,2.86,PT,1701980917
115,mogocha,53.7333,119.7667,-25.68,87,100,1.43,RU,1701980918
116,talnakh,69.4865,88.3972,-33.49,89,35,1.31,RU,1701980918
117,vanimo,-2.6741,141.3028,25.93,90,100,4.39,PG,1701980919
118,moroto,2.5345,34.6666,23.4,44,9,3.91,UG,1701980919
119,menominee,45.1078,-87.6143,7.04,61,100,1.54,US,1701980919
120,ancud,-41.8697,-73.8203,14.94,62,0,4.79,CL,1701980920
121,fada,9.5667,8.3,22.73,22,6,2.26,NG,1701980920
122,dongola,19.1667,30.4833,20.43,19,7,4.35,SD,1701980920
123,papatowai,-46.5619,169.4708,14.33,54,98,5.0,NZ,1701980921
124,boac,13.4463,121.84,25.86,83,42,3.77,PH,1701980921
125,orapa,-21.2833,25.3667,27.73,33,1,0.8,BW,1701980921
126,jamestown,42.097,-79.2353,4.2,79,100,3.09,US,1701980715
127,port macquarie,-31.4333,152.9167,22.16,91,60,1.0,AU,1701980922
128,badger,64.8,-147.5333,-18.05,82,20,3.6,US,1701980764
129,la'ie,21.6477,-157.9253,28.98,68,37,1.34,US,1701980923
130,dauphin,51.1494,-100.0502,3.08,93,100,5.66,CA,1701980923
131,lihue,21.9789,-159.3672,26.36,76,75,1.54,US,1701980737
132,recife,-8.0539,-34.8811,28.02,74,75,4.63,BR,1701980739
133,sarkisla,39.3519,36.4098,7.07,78,100,2.0,TR,1701980924
134,whitehorse,60.7161,-135.0538,-3.57,79,75,7.2,CA,1701980924
135,tazacorte,28.629,-17.9293,20.54,77,40,4.12,ES,1701980925
136,salalah,17.0151,54.0924,24.05,33,0,3.6,OM,1701980925
137,ust-nera,64.5667,143.2,-35.75,90,100,1.4,RU,1701980925
138,sitka,57.0531,-135.33,2.94,87,75,4.12,US,1701980926
139,outjo,-20.1167,16.15,26.3,27,84,7.83,NA,1701980926
140,invercargill,-46.4,168.35,12.32,64,98,3.77,NZ,1701980751
141,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,7.72,EC,1701980839
142,olonkinbyen,70.9221,-8.7187,-1.65,77,10,5.12,SJ,1701980927
143,amorebieta,43.2167,-2.7333,14.13,75,75,1.54,ES,1701980927
144,san antonio de pale,-1.4014,5.6325,26.12,82,99,3.52,GQ,1701980928
145,san patricio,28.017,-97.5169,24.53,53,100,6.79,US,1701980928
146,byron bay,-28.65,153.6167,21.51,80,1,1.1,AU,1701980928
147,mbabane,-26.3167,31.1333,14.61,98,65,1.15,SZ,1701980929
148,cannonvale,-20.2833,148.7,26.66,63,99,7.7,AU,1701980929
149,port elizabeth,-33.918,25.5701,20.05,94,0,1.03,ZA,1701980929
150,darwin,-12.4611,130.8418,24.99,92,0,2.06,AU,1701980930
151,kodiak,57.79,-152.4072,2.73,75,40,4.12,US,1701980717
152,east london,-33.0153,27.9116,22.64,88,59,5.17,ZA,1701980930
153,livingston,55.9029,-3.5226,6.05,90,75,3.6,GB,1701980797
154,namibe,-15.1961,12.1522,23.09,81,98,4.77,AO,1701980931
155,santa ana,33.7456,-117.8678,20.78,66,75,4.63,US,1701980410
156,antonio enes,-16.2325,39.9086,25.8,75,29,3.37,MZ,1701980932
157,utrik,11.2278,169.8474,27.54,81,28,10.55,MH,1701980817
158,dhuusamarreeb,5.535,46.3861,24.4,50,99,7.13,SO,1701980932
159,nadi,-17.8,177.4167,28.0,69,40,3.09,FJ,1701980933
160,queenstown,-31.8976,26.8753,17.79,66,52,2.04,ZA,1701980875
161,acajutla,13.5928,-89.8275,31.44,52,0,3.68,SV,1701980933
162,fordingbridge,50.9275,-1.7903,10.4,96,20,2.06,GB,1701980934
163,al ghayzah,16.2079,52.176,24.74,55,19,2.85,YE,1701980731
164,vorkuta,67.5,64.0,-26.08,98,100,2.04,RU,1701980884
165,sinabang,2.4803,96.3801,26.13,84,100,0.79,ID,1701980732
166,kruisfontein,-34.0033,24.7314,18.82,57,0,2.87,ZA,1701980935
167,new norfolk,-42.7826,147.0587,13.72,70,100,0.99,AU,1701980771
168,la passe,45.5549,-0.8967,12.21,95,100,4.37,FR,1701980936
169,santarem,-2.4431,-54.7083,31.07,62,20,6.69,BR,1701980936
170,jacarei,-23.3053,-45.9658,27.4,57,40,2.57,BR,1701980923
171,zhaqsy,51.9083,67.3133,-32.14,96,5,3.01,KZ,1701980937
172,kampung simpang renggam,1.8278,103.3,25.53,97,97,1.14,MY,1701980937
173,orkney,-26.9802,26.6727,21.41,57,42,4.69,ZA,1701980938
174,juegang,32.3174,121.1855,10.68,62,0,4.56,CN,1701980938
175,walvis bay,-22.9575,14.5053,16.72,77,3,6.58,NA,1701980938
176,lata,40.1629,-8.3327,13.37,93,100,3.76,PT,1701980939
177,riberalta,-10.9833,-66.1,32.11,62,75,2.57,BO,1701980841
178,rio preto da eva,-2.6994,-59.6997,28.44,73,100,0.26,BR,1701980786
179,acapulco de juarez,16.8634,-99.8901,29.9,74,40,3.6,MX,1701980735
180,nizhnesortymskiy,62.4397,71.7603,-27.74,89,100,4.4,RU,1701980940
181,gulf shores,30.246,-87.7008,17.99,64,40,2.06,US,1701980940
182,sulak,43.2734,47.5146,8.96,83,100,6.51,RU,1701980941
183,ad dabbah,18.05,30.95,21.17,21,10,4.66,SD,1701980941
184,margate,51.3813,1.3862,7.17,86,100,4.92,GB,1701980842
185,west island,-12.1568,96.8225,25.99,83,40,6.69,CC,1701980732
186,kolpashevo,58.3131,82.9089,-31.61,98,91,1.34,RU,1701980942
187,colonia,50.9333,6.95,2.68,83,20,3.6,DE,1701980802
188,mirny,62.5353,113.9611,-43.76,64,66,0.96,RU,1701980943
189,bilibino,68.0546,166.4372,-37.19,100,81,1.07,RU,1701980943
190,verkhnevilyuysk,63.4453,120.3167,-49.45,100,92,0.68,RU,1701980944
191,saipan,15.1355,145.701,27.39,83,75,6.17,MP,1701980944
192,khandyga,62.6667,135.6,-31.57,90,100,2.12,RU,1701980945
193,birao,10.2849,22.7882,23.87,17,25,2.63,CF,1701980945
194,kenai,60.5544,-151.2583,-6.03,92,75,5.14,US,1701980945
195,n'zeto,-7.2312,12.8666,27.03,77,5,3.16,AO,1701980946
196,kuqa,41.7278,82.9364,3.55,38,85,1.49,CN,1701980946
197,kirakira,-10.4544,161.9205,26.86,86,99,4.4,SB,1701980946
198,kostopil',50.8784,26.4519,-8.64,97,100,2.95,UA,1701980947
199,langepas,61.2544,75.2124,-25.81,87,100,3.63,RU,1701980947
200,anyama,5.4946,-4.0518,27.45,72,100,3.1,CI,1701980948
201,hong kong,22.2855,114.1577,20.18,71,99,1.34,HK,1701980877
202,lagoa,39.05,-27.9833,17.15,74,100,10.2,PT,1701980948
203,shiqi,22.5168,113.3852,17.95,63,100,1.11,CN,1701980949
204,watsa,3.0372,29.5355,18.89,93,5,1.12,CD,1701980949
205,al bayda',32.7627,21.7551,10.57,96,29,2.2,LY,1701980949
206,kirensk,57.7853,108.1119,-44.46,100,96,0.89,RU,1701980950
207,stanley,54.868,-1.6985,4.77,96,75,4.63,GB,1701980950
208,raja,8.4596,25.678,25.27,21,15,1.92,SS,1701980950
209,sandnessjoen,66.0217,12.6316,-0.88,80,75,1.03,NO,1701980951
210,auki,-8.7676,160.7034,26.01,86,99,2.7,SB,1701980951
211,aswan,24.0934,32.907,20.61,32,0,3.6,EG,1701980951
212,coahuayana de hidalgo,18.7,-103.6583,31.56,49,53,2.01,MX,1701980952
213,busselton,-33.65,115.3333,12.52,85,0,4.55,AU,1701980952
214,minas,-34.3759,-55.2377,19.29,65,28,7.45,UY,1701980953
215,tocache,-8.1842,-76.5125,29.54,66,96,1.51,PE,1701980953
216,polyarnyy,69.1989,33.4478,-14.05,95,87,6.88,RU,1701980887
217,bardai,11.65,7.2333,22.99,18,92,3.28,NG,1701980954
218,paredon,16.0333,-93.8667,31.61,48,97,6.48,MX,1701980954
219,sirte,31.2089,16.5887,19.07,57,62,7.99,LY,1701980955
220,starokostiantyniv,49.7576,27.2034,-5.3,98,100,2.78,UA,1701980955
221,kurchatov,51.6601,35.6521,-5.77,92,100,5.55,RU,1701980956
222,vorgashor,67.5833,63.95,-26.25,98,100,2.03,RU,1701980956
223,dixon,38.4455,-121.8233,16.05,73,20,4.63,US,1701980767
224,alibag,18.6411,72.8792,26.04,70,1,2.47,IN,1701980957
225,coracora,-15.0333,-73.7833,18.13,40,64,5.25,PE,1701980958
226,lucapa,-8.4192,20.7447,19.73,97,100,1.24,AO,1701980958
227,leua,48.2156,18.6071,-1.62,96,85,1.43,SK,1701980959
228,nar'yan-mar,67.6713,53.087,-14.38,96,100,3.58,RU,1701980959
229,fonte boa,-2.4959,-66.2662,27.77,92,81,0.79,BR,1701980960
230,bubaque,11.2833,-15.8333,27.82,70,34,6.18,GW,1701980960
231,avarua,-21.2078,-159.775,25.03,73,75,6.17,CK,1701980960
232,nova londrina,-22.7658,-52.985,23.65,90,100,2.14,BR,1701980961
233,turkmenbasy,40.0222,52.9552,9.43,66,75,2.06,TM,1701980961
234,al wafrah,28.6392,47.9306,18.73,30,0,2.43,KW,1701980961
235,mount pearl,47.5166,-52.7813,-3.15,85,100,7.2,CA,1701980814
236,shendi,16.6915,33.4341,25.54,30,1,4.19,SD,1701980892
237,nova kakhovka,46.7545,33.3486,2.31,96,100,6.85,UA,1701980962
238,teknaf,20.8624,92.3058,23.78,92,82,2.35,BD,1701980963
239,bay roberts,47.5999,-53.2648,-2.49,85,100,2.68,CA,1701980963
240,kupang,-10.1667,123.5833,25.32,100,40,0.51,ID,1701980843
241,souillac,-20.5167,57.5167,26.21,89,75,0.0,MU,1701980964
242,boyolangu,-8.1181,111.8935,25.27,90,100,1.97,ID,1701980964
243,bollnas,61.3482,16.3946,-4.46,97,100,1.21,SE,1701980965
244,nova xavantina,-14.6667,-52.35,37.58,24,85,1.87,BR,1701980965
245,san matias,-16.3667,-58.4,37.24,33,36,2.39,BO,1701980966
246,torghay,49.6339,63.4981,-16.8,61,74,7.4,KZ,1701980966
247,saint-joseph,-21.3667,55.6167,24.71,85,52,4.3,RE,1701980966
248,kamen'-rybolov,44.7481,132.0403,-9.24,75,100,2.77,RU,1701980967
249,al kharijah,25.4514,30.5464,16.87,44,0,2.69,EG,1701980967
